originLocation,destinationLocation,equipmentType,carrier,productType,rateType,effectiveDate,expirationDate,miles,fsc,grouping,equipCarCost,equipPerTonCost,totalCost,pvtCarCost,pvtPerTonCost,pvtTotalCost,costPerMile,last_update_date,color,id
"MILLERSBURG, OR","VILLARD JCT, WA",SINGLE,UP,NITAMIN,T,2023-07-01,2024-06-30,295,,WA - WALLULA,,,,4905,50.05,51.56,0.1748,2023-07-01,red,MILLERSBURG|#|OR|#|VILLARD JCT|#|WA|#|UP|#|SINGLE|#|NITAMIN|#|T|#|2023-07-01|#|2024-06-30|#|WA - WALLULA
"CHICAGO, IL","HAGERSTOWN, IN",SINGLE,NS,ATS,T,2023-08-01,,226,,,,,,,21.65,22.85,0.1011,2023-08-01,grey,CHICAGO|#|IL|#|HAGERSTOWN|#|IN|#|NS|#|SINGLE|#|ATS|#|T|#|2023-08-01|#||#|
"SAINT LOUIS, MO","ERSKINE, MN",85 UT,BNSF,DAP,T,2023-07-01,2023-12-31,951,3.24,85 UT,,47.17,50.41,,,,0.053,2023-07-01,orange,SAINT LOUIS|#|MO|#|ERSKINE|#|MN|#|BNSF|#|85 UT|#|DAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"JUDD, IA","LEVIS, QC",SINGLE,CN,UAN,Q,,,1379,,,,,,5629,57.44,66.64,0.0483,2023-05-24,grey,JUDD|#|IA|#|LEVIS|#|QC|#|CN|#|SINGLE|#|UAN|#|Q|#||#||#|
"NEW ORLEANS, LA","HANLEY, SK",SINGLE,CN,MAP,C,2023-07-01,2024-06-30,2287,14,,,,,8150,,98.03,,2023-07-01,grey,NEW ORLEANS|#|LA|#|HANLEY|#|SK|#|CN|#|SINGLE|#|MAP|#|C|#|2023-07-01|#|2024-06-30|#|
"JUDD, IA","HAMPTON, IA",SINGLE,CN-IOWAF-UP,UAN,Q,,,650,,,,,,,,33.57,0.0516,2023-08-15,grey,JUDD|#|IA|#|HAMPTON|#|IA|#|CN-IOWAF-UP|#|SINGLE|#|UAN|#|Q|#||#||#|
"KANSAS CITY, MO","MACKSVILLE, KS",SINGLE,BNSF,UAN,C,2023-07-01,2023-12-31,285,,,,,,,34.2,35.16,0.1234,2023-07-01,orange,KANSAS CITY|#|MO|#|MACKSVILLE|#|KS|#|BNSF|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2023-12-31|#|
"ENID, OK","ONARGA, IL",SINGLE,UP-CHGO-CN,AMMONIA,F,,,,,,,,,,,206.37,,2023-01-01,grey,ENID|#|OK|#|ONARGA|#|IL|#|UP-CHGO-CN|#|SINGLE|#|AMMONIA|#|F|#||#||#|
"ENID, OK","MIDDLEPORT, NY",SINGLE,BNSF-CHGO-CSXT-LOCKP-FRR,SUPERU,F,,,1314,,,,,85.88,,,72.92,0.0654,2023-07-01,grey,ENID|#|OK|#|MIDDLEPORT|#|NY|#|BNSF-CHGO-CSXT-LOCKP-FRR|#|SINGLE|#|SUPERU|#|F|#||#||#|
"ENID, OK","LAKOTA, ND",85 UT,BNSF,SUPERU,T,2023-07-01,2023-12-31,1141,3.88,85 UT,,45.4,49.28,,43.13,47.01,0.0432,2023-07-01,orange,ENID|#|OK|#|LAKOTA|#|ND|#|BNSF|#|85 UT|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"NORA SPRINGS, IA","DUNKERTON, IA",SINGLE,IANR,MAP,C,2023-07-01,2024-06-30,72,0.48,"",947,9.76,10.24,825,,8.98,0.1422,2023-07-01,grey,NORA SPRINGS|#|IA|#|DUNKERTON|#|IA|#|IANR|#|SINGLE|#|MAP|#|C|#|2023-07-01|#|2024-06-30|#|
"WILMINGTON, NC","EAST SAUGATUCK, MI",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,1095,,PF - MI EAST SAUGATUCK,5638,58.12,58.12,4785,49.33,49.33,0.0531,2023-03-01,blue,WILMINGTON|#|NC|#|EAST SAUGATUCK|#|MI|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - MI EAST SAUGATUCK
"SIOUX CITY, IA","BURLEY, ID",SINGLE,UP,UAN,Q,,,1196,,ID - POCATELLO,,,,7440,75.92,82.02,0.0686,2023-08-07,red,SIOUX CITY|#|IA|#|BURLEY|#|ID|#|UP|#|SINGLE|#|UAN|#|Q|#||#||#|ID - POCATELLO
"ENID, OK","THAMESVILLE, ON",SINGLE,BNSF-CHGO-CPRS,UREA,Q,,,1100,,,,,81.43,,,71.28,0.074,2023-10-13,grey,ENID|#|OK|#|THAMESVILLE|#|ON|#|BNSF-CHGO-CPRS|#|SINGLE|#|UREA|#|Q|#||#||#|
"BRANDON, MB","BROOKSTON, IN",SINGLE,CPRS-CHGO-CSXT,UAN,F,,,1111,,,,,,,,65.34,0.0588,2023-07-01,grey,BRANDON|#|MB|#|BROOKSTON|#|IN|#|CPRS-CHGO-CSXT|#|SINGLE|#|UAN|#|F|#||#||#|
"SASKFERCO, SK","NOYES, MN",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,460,,,,,,8947,114.71,118.21,0.257,2023-01-01,grey,SASKFERCO|#|SK|#|NOYES|#|MN|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","KENT BRIDGE, ON",SINGLE,CPRS,10-34-0,C,2023-07-01,2024-06-30,1416,,,,,,6961,78.21,88.62,0.0626,2023-07-01,grey,BRANDON|#|MB|#|KENT BRIDGE|#|ON|#|CPRS|#|SINGLE|#|10-34-0|#|C|#|2023-07-01|#|2024-06-30|#|
"ENID, OK","LANGDON, ND",85 UT,BNSF,UREA,T,2023-07-01,2023-12-31,1171,3.98,85 UT,,47.54,51.52,,45.16,49.14,0.044,2023-07-01,orange,ENID|#|OK|#|LANGDON|#|ND|#|BNSF|#|85 UT|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"CHARLOTTE, NC","COLUMBIANA, OH",SINGLE,NS,METHANOL,Q,,,830,,,,,,5548,,5979.6,0.0819,2023-06-09,grey,CHARLOTTE|#|NC|#|COLUMBIANA|#|OH|#|NS|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"WILMINGTON, NC","COLUMBIA, SC",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,212,,PF - SC COLUMBIA,3248,33.48,33.48,2706,27.9,27.9,0.1579,2023-03-01,blue,WILMINGTON|#|NC|#|COLUMBIA|#|SC|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - SC COLUMBIA
"ROMA JCT, AB","WATSON, SK",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,754,,,,,,12613,161.71,168.55,0.2235,2023-01-01,grey,ROMA JCT|#|AB|#|WATSON|#|SK|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"COUNCIL BLUFFS, IA","GREENLEAF, ID",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,1157,5.96,ID - NAMPA,6983,71.99,77.95,6235,,70.24,0.0674,2023-07-01,red,COUNCIL BLUFFS|#|IA|#|GREENLEAF|#|ID|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|ID - NAMPA
"ENID, OK","BATH, SD",85 UT,BNSF,UREA,T,2023-08-02,2023-12-31,893,3.04,85 UT,,30,33.04,,29.25,32.29,0.037,2023-08-02,orange,ENID|#|OK|#|BATH|#|SD|#|BNSF|#|85 UT|#|UREA|#|T|#|2023-08-02|#|2023-12-31|#|85 UT
"ST LOUIS (ALL), MO","GRINNELL, IA",SINGLE,UP,UREA,Q,,,440,2.27,,4872,50.23,52.49,4350,44.85,47.11,0.1193,2023-06-09,red,ST LOUIS (ALL)|#|MO|#|GRINNELL|#|IA|#|UP|#|SINGLE|#|UREA|#|Q|#||#||#|
"ENID, OK","BELGRADE, MT",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,1516,5.16,PT TO PT,,70.58,75.74,,65.78,70.94,0.05,2023-07-01,orange,ENID|#|OK|#|BELGRADE|#|MT|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"GRANVILLE, WI","OSHKOSH, WI",SINGLE,WSOR,UAN,T,2023-08-01,2024-07-31,87,,,,,,,13.95,14.7,0.1689,2023-08-01,grey,GRANVILLE|#|WI|#|OSHKOSH|#|WI|#|WSOR|#|SINGLE|#|UAN|#|T|#|2023-08-01|#|2024-07-31|#|
"CHALMETTE, LA","WEYERS CAVE, VA",SINGLE,NS,UREA,T,2023-08-01,,1024,5.49,,,,,,47.73,53.22,,2023-08-01,grey,CHALMETTE|#|LA|#|WEYERS CAVE|#|VA|#|NS|#|SINGLE|#|UREA|#|T|#|2023-08-01|#||#|
"SAINT LOUIS, MO","RANDOLPH, NE",SINGLE,BNSF,MAP,Q,,,671,2.28,PT TO PT,,50.2,52.48,,,49.97,0.0782,2023-06-12,orange,SAINT LOUIS|#|MO|#|RANDOLPH|#|NE|#|BNSF|#|SINGLE|#|MAP|#|Q|#||#||#|PT TO PT
"FREDERICK, OK","BURKBURNETT, OK",SINGLE,WTJR,ATS,T,2023-01-01,2023-12-31,,,,,,,931,9.5,9.5,,2023-01-01,grey,FREDERICK|#|OK|#|BURKBURNETT|#|OK|#|WTJR|#|SINGLE|#|ATS|#|T|#|2023-01-01|#|2023-12-31|#|
"WILMINGTON, NC","KENT CITY, MI",SINGLE,CSXT-GDRAP-MQT,UREA,T,2023-03-01,2024-02-29,1083,,PF - MI GRAND RAPIDS,8056,83.05,83.05,6761,69.7,69.7,0.0767,2023-03-01,grey,WILMINGTON|#|NC|#|KENT CITY|#|MI|#|CSXT-GDRAP-MQT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - MI GRAND RAPIDS
"ENID, OK","WILLISTON, ND",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,1349,4.59,PT TO PT,,60.24,64.83,,57.73,62.32,0.0481,2023-07-01,orange,ENID|#|OK|#|WILLISTON|#|ND|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"SAINT LOUIS, MO","BOWMAN, ND",SINGLE,BNSF,UREA,T,,,1132,3.85,PT TO PT,,66.76,70.61,,63.1,66.95,0.0624,2023-10-19,orange,SAINT LOUIS|#|MO|#|BOWMAN|#|ND|#|BNSF|#|SINGLE|#|UREA|#|T|#||#||#|PT TO PT
"ENID, OK","WEST MILBANK, SD",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,894,3.04,PT TO PT,,41.22,44.26,,39.5,42.54,0.0495,2023-07-01,orange,ENID|#|OK|#|WEST MILBANK|#|SD|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","KANSAS CITY, MO",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,303,1.56,MO - KANSAS CITY,2862,29.51,31.07,2556,26.35,27.91,0.1025,2023-07-01,red,ENID|#|OK|#|KANSAS CITY|#|MO|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|MO - KANSAS CITY
"ENID, OK","MURDOCK, MN",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,870,2.96,PT TO PT,,40.09,43.05,,38.42,41.38,0.0495,2023-07-01,orange,ENID|#|OK|#|MURDOCK|#|MN|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"GEISMAR, LA","OSHKOSH, WI",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1135,,,,,,22839,292.81,301.45,0.2656,2023-01-01,grey,GEISMAR|#|LA|#|OSHKOSH|#|WI|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","MORRILL, NE",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,799,2.72,PT TO PT,,47.54,50.26,,45.35,48.07,0.0629,2023-07-01,orange,ENID|#|OK|#|MORRILL|#|NE|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ST LOUIS (ALL), MO","STOCKTON, CA",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,2110,10.88,CA - SACRAMENTO,10394,107.15,118.03,9280,95.67,106.55,0.0559,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|STOCKTON|#|CA|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|CA - SACRAMENTO
"ROSEPORT, MN","DAVIDSON, OH",SINGLE,UP-CHGO-NS,ATS,F,,,697,,,,,,,,50.51,0.0725,2023-08-01,grey,ROSEPORT|#|MN|#|DAVIDSON|#|OH|#|UP-CHGO-NS|#|SINGLE|#|ATS|#|F|#||#||#|
"GRANITE CITY, IL","ROELYN, IA",SINGLE,UP,MAP,T,2023-07-01,2024-06-30,514,2.65,IA - INTERIOR IOWA HEAVY,5045,52.01,54.66,4505,,49.09,0.1063,2023-07-01,red,GRANITE CITY|#|IL|#|ROELYN|#|IA|#|UP|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2024-06-30|#|IA - INTERIOR IOWA HEAVY
"ENID, OK","BRYAN, TX",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,449,2.31,TX - WACO,3656,37.69,40.01,3265,33.66,35.97,0.0891,2023-07-01,red,ENID|#|OK|#|BRYAN|#|TX|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|TX - WACO
"MILWAUKEE, WI","PLYMOUTH, WI",SINGLE,WSOR,ATS,T,2023-08-01,2024-07-31,54,,,,,,,10.88,11.34,0.2101,2023-08-01,grey,MILWAUKEE|#|WI|#|PLYMOUTH|#|WI|#|WSOR|#|SINGLE|#|ATS|#|T|#|2023-08-01|#|2024-07-31|#|
"ENID, OK","DONALD, OR",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,2254,7.67,PT TO PT,,84.03,91.7,,80.74,88.41,0.0407,2023-07-01,orange,ENID|#|OK|#|DONALD|#|OR|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","CENTRAL CITY, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,522,2.69,NE - GRAND ISLAND,4264,43.96,46.65,3806,39.24,41.93,0.0894,2023-07-01,red,ENID|#|OK|#|CENTRAL CITY|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - GRAND ISLAND
"CHALMETTE, LA","MORRISTOWN, TN",SINGLE,NS,MAP,C,2023-09-01,2023-11-30,647,,"",,,,,,36.85,,2023-09-01,grey,CHALMETTE|#|LA|#|MORRISTOWN|#|TN|#|NS|#|SINGLE|#|MAP|#|C|#|2023-09-01|#|2023-11-30|#|
"ST LOUIS (ALL), MO","DELTA, UT",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,1526,7.87,UT - MILFORD,8189,84.42,92.29,7312,75.38,83.25,0.0605,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|DELTA|#|UT|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|UT - MILFORD
"CHICAGO, IL","ATALISSA, IA",SINGLE,IAIS,ATS,T,2023-10-01,2024-09-30,199,,IOWA CITY IAIS GRP,,,,1907,19.46,21.16,0.1064,2023-10-01,grey,CHICAGO|#|IL|#|ATALISSA|#|IA|#|IAIS|#|SINGLE|#|ATS|#|T|#|2023-10-01|#|2024-09-30|#|IOWA CITY IAIS GRP
"BATON ROUGE, LA","BATON ROUGE, LA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,0,,,,,,5107,65.47,65.47,,2023-01-01,grey,BATON ROUGE|#|LA|#|BATON ROUGE|#|LA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"WILMINGTON, NC","GRAYLING, MI",SINGLE,CSXT-PLYMT-LSRC,METHANOL,C,2023-03-01,2023-12-31,1120,,,,,,8226,,8954,0.0908,2023-03-01,grey,WILMINGTON|#|NC|#|GRAYLING|#|MI|#|CSXT-PLYMT-LSRC|#|SINGLE|#|METHANOL|#|C|#|2023-03-01|#|2023-12-31|#|
"MEMPHIS, TN","WEYERS CAVE, VA",SINGLE,CSXT-STAUN-DGVR,UREA,T,2023-03-01,2024-02-29,978,,PF - VA ROANOKE,5025,51.8,51.8,4301,44.34,44.34,0.053,2023-03-01,grey,MEMPHIS|#|TN|#|WEYERS CAVE|#|VA|#|CSXT-STAUN-DGVR|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - VA ROANOKE
"WILMINGTON, NC","TAUNTON, MA",SINGLE,CSXT-TAUNT-MC,UREA,T,2023-03-01,2024-02-29,1000,,PF - MA BOSTON,6515,67.16,67.16,5480,56.49,56.49,0.0672,2023-03-01,grey,WILMINGTON|#|NC|#|TAUNTON|#|MA|#|CSXT-TAUNT-MC|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - MA BOSTON
"WILMINGTON, NC","MORRAL, OH",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,810,,PF - OH MORRAL,5103,52.61,52.61,4320,44.54,44.54,0.0649,2023-03-01,blue,WILMINGTON|#|NC|#|MORRAL|#|OH|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - OH MORRAL
"CHICAGO, IL","SCOTIA, SC",SINGLE,CSXT,ATS,T,2023-07-01,2024-06-30,987,,PF - SC SCOTIA,,,,4707,48.03,48.03,0.0487,2023-07-01,blue,CHICAGO|#|IL|#|SCOTIA|#|SC|#|CSXT|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - SC SCOTIA
"BRANDON, MB","MALCOM, IA",SINGLE,CPRS-CHGO-IAIS,UAN,F,,,1284,,,,,,,,57.56,0.0448,2023-07-01,grey,BRANDON|#|MB|#|MALCOM|#|IA|#|CPRS-CHGO-IAIS|#|SINGLE|#|UAN|#|F|#||#||#|
"CHICAGO, IL","WATERLOO, IA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,278,,,,,,7267,93.17,95.28,0.3427,2023-01-01,grey,CHICAGO|#|IL|#|WATERLOO|#|IA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","REEDSBURG, WI",SINGLE,CPRS-MADSN-WSOR,ATS,F,,,914,,,,,,,,42.85,0.0469,2023-08-01,grey,BRANDON|#|MB|#|REEDSBURG|#|WI|#|CPRS-MADSN-WSOR|#|SINGLE|#|ATS|#|F|#||#||#|
"ROSEPORT, MN","SPRINGFIELD, IL",SINGLE,UP,ATS,T,2023-07-01,2024-06-30,601,,IL - ALLEN,,,,3610,36.84,39.9,0.0664,2023-07-01,red,ROSEPORT|#|MN|#|SPRINGFIELD|#|IL|#|UP|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|IL - ALLEN
"EVANSTON, MS","NEWTON, IL",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,722,,,,,,12062,154.64,160.14,0.2218,2023-01-01,grey,EVANSTON|#|MS|#|NEWTON|#|IL|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"EAST SAINT LOUIS, IL","LOOGOOTEE, IN",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,181,,PF - IN FRITCHTON,4013,41.37,41.37,3344,34.47,34.47,0.2286,2023-03-01,blue,EAST SAINT LOUIS|#|IL|#|LOOGOOTEE|#|IN|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - IN FRITCHTON
"CHICAGO, IL","LA CROSSE, IN",SINGLE,CSXT-WLSBO-CKIN,UAN,T,2023-07-01,2024-06-30,63,,PF - IL CHICAGO,,,,2335,23.83,23.83,0.3782,2023-07-01,grey,CHICAGO|#|IL|#|LA CROSSE|#|IN|#|CSXT-WLSBO-CKIN|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|PF - IL CHICAGO
"WYCON, WY","SUGAR CITY, ID",SINGLE,UP,UAN,T,2023-07-01,2024-06-30,624,,ID - IDAHO FALLS,,,,6087,62.11,65.3,0.1046,2023-07-01,red,WYCON|#|WY|#|SUGAR CITY|#|ID|#|UP|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"MOBILE, AL","ALDEN, IA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1262,,,,,,24945,319.81,329.42,0.261,2023-01-01,grey,MOBILE|#|AL|#|ALDEN|#|IA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"JUDD, IA","WATERLOO, IA",SINGLE,CN,UAN,C,2023-01-04,2023-12-31,91,,,,,,1719,17.54,18.09,0.1988,2023-01-04,grey,JUDD|#|IA|#|WATERLOO|#|IA|#|CN|#|SINGLE|#|UAN|#|C|#|2023-01-04|#|2023-12-31|#|
"ST LOUIS (ALL), MO","WELCOME, MN",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,616,3.18,IA - INTERIOR IOWA HEAVY,4261,43.93,47.1,3804,39.22,42.39,0.0765,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|WELCOME|#|MN|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|IA - INTERIOR IOWA HEAVY
"WILMINGTON, NC","OAKMONT, PA",SINGLE,CSXT,METHANOL,Q,,,743,,,,,,5325,,5807.95,0.0888,2022-10-12,blue,WILMINGTON|#|NC|#|OAKMONT|#|PA|#|CSXT|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"CHICAGO, IL","WELLSBORO, IN",SINGLE,CSXT-WLSBO-CKIN,ATS,T,2023-07-01,2024-06-30,48,,PF - IL CHICAGO,,,,2335,23.83,23.83,0.4964,2023-07-01,grey,CHICAGO|#|IL|#|WELLSBORO|#|IN|#|CSXT-WLSBO-CKIN|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - IL CHICAGO
"COUNCIL BLUFFS, IA","MALCOM, IA",SINGLE,IAIS,UAN,T,2023-10-01,2024-09-30,194,,IOWA CITY IAIS GRP,,,,2039,20.81,22.47,0.1158,2023-10-01,grey,COUNCIL BLUFFS|#|IA|#|MALCOM|#|IA|#|IAIS|#|SINGLE|#|UAN|#|T|#|2023-10-01|#|2024-09-30|#|IOWA CITY IAIS GRP
"ENID, OK","MADRAS, OR",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,2217,7.54,PT TO PT,,80.95,88.49,,77.61,85.15,0.0399,2023-07-01,orange,ENID|#|OK|#|MADRAS|#|OR|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"MICHOUD, LA","HONEA PATH, SC",SINGLE,CSXT-BELTO-PKHP,UREA,T,2023-03-01,2024-02-29,777,,PF - SC GREENVILLE,5152,53.11,53.11,4430,45.67,45.67,0.0684,2023-03-01,grey,MICHOUD|#|LA|#|HONEA PATH|#|SC|#|CSXT-BELTO-PKHP|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - SC GREENVILLE
"SAINT LOUIS, MO","SHOAL LAKE, MB",SINGLE,CSXT-CHGO-CPRS,DAP,F,,,1088,,,,,87.88,,,76.2,0.0808,2023-07-01,grey,SAINT LOUIS|#|MO|#|SHOAL LAKE|#|MB|#|CSXT-CHGO-CPRS|#|SINGLE|#|DAP|#|F|#||#||#|
"SARNIA, ON","SUDBURY, ON",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,433,,,,,,8684,111.33,115.26,0.2662,2023-01-01,grey,SARNIA|#|ON|#|SUDBURY|#|ON|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"SAINT LOUIS, MO","DANVILLE, IL",SINGLE,CSXT,MAP,Q,,,222,,"",2984,30.76,30.76,2733,,28.18,0.1386,2023-08-08,blue,SAINT LOUIS|#|MO|#|DANVILLE|#|IL|#|CSXT|#|SINGLE|#|MAP|#|Q|#||#||#|
"MICHOUD, LA","MULLINS, AL",SINGLE,CSXT-DOTHA-BAYL,UREA,T,2023-03-01,2024-02-29,425,,PF - AL MONTGOMERY,4954,51.07,51.07,4394,45.3,45.3,0.1202,2023-03-01,grey,MICHOUD|#|LA|#|MULLINS|#|AL|#|CSXT-DOTHA-BAYL|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - AL MONTGOMERY
"ENID, OK","HODGE, TX",SINGLE,UP,DEF,T,2023-01-01,2023-12-31,275,,TX - DALLAS,,,,2565,24.43,25.74,0.0936,2023-01-01,red,ENID|#|OK|#|HODGE|#|TX|#|UP|#|SINGLE|#|DEF|#|T|#|2023-01-01|#|2023-12-31|#|TX - DALLAS
"ENID, OK","OMAHA, NE",SINGLE,UP,DEF,T,2023-01-01,2023-12-31,507,,NE - GROUP 3,,,,3488,33.22,35.63,0.0703,2023-01-01,red,ENID|#|OK|#|OMAHA|#|NE|#|UP|#|SINGLE|#|DEF|#|T|#|2023-01-01|#|2023-12-31|#|NE - GROUP 3
"ENID, OK","SUTHERLAND, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,601,3.1,NE - COZAD,3909,40.3,43.4,3491,35.99,39.09,0.0722,2023-07-01,red,ENID|#|OK|#|SUTHERLAND|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - COZAD
"ROCK ISLAND, IL","COUNCIL BLUFFS, IA",SINGLE,IAIS,MAP,C,2023-07-01,2024-06-30,177,1.53,PT TO PT,,,,1372,,15.68,,2023-07-01,grey,ROCK ISLAND|#|IL|#|COUNCIL BLUFFS|#|IA|#|IAIS|#|SINGLE|#|MAP|#|C|#|2023-07-01|#|2024-06-30|#|PT TO PT
"WYCON, WY","SHELLEY, ID",SINGLE,UP,UAN,T,2023-07-01,2024-06-30,589,,ID - IDAHO FALLS,,,,6087,62.11,65.12,0.1106,2023-07-01,red,WYCON|#|WY|#|SHELLEY|#|ID|#|UP|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"WOLSEY, SD","WALL, SD",SINGLE,RCPE,ATS,C,2023-07-01,2024-06-30,214,,,,,,1254,12.8,14.54,0.068,2023-07-01,grey,WOLSEY|#|SD|#|WALL|#|SD|#|RCPE|#|SINGLE|#|ATS|#|C|#|2023-07-01|#|2024-06-30|#|
"ENID, OK","SCOTTSBLUFF, NE",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,784,2.67,PT TO PT,,41.86,44.53,,39.77,42.44,0.0568,2023-07-01,orange,ENID|#|OK|#|SCOTTSBLUFF|#|NE|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","CLOVIS, NM",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,373,1.27,PT TO PT,,46.65,47.92,,43.11,44.38,0.1285,2023-07-01,orange,ENID|#|OK|#|CLOVIS|#|NM|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
